,price,year built,sqft,beds,bathroom,price_sqft,grage,HOA Fees,Address,Time On Web,sqft lot,Condo,Multi-Family,Single Family,Townhome
1825,449900,1901.0,1300.0,2.0,2.0,346.0,1,426.0,"2332 S Michigan Ave Apt 303, Chicago, IL 60616",5,1300.0,1,0,0,0
1831,389000,1944.0,1545.0,3.0,2.0,252.0,0,250.0,"6445 N Ogallah Ave, Chicago, IL 60631",14,4125.0,0,0,1,0
1832,150000,1960.0,1008.0,3.0,1.0,149.0,2,551.1388379204893,"9612 S Wallace St, Chicago, IL 60628",14,4125.0,0,0,1,0
1834,350000,1885.0,1100.0,3.0,1.5,318.0,2,205.0,"830 N Fairfield Ave, Chicago, IL 60622",32,3149.0,0,0,1,0
1835,295000,1920.0,3444.0,5.0,3.0,86.0,2,551.1388379204893,"3116 W 41st Pl, Chicago, IL 60632",32,3444.0,0,1,0,0
1836,205000,1926.0,1623.0,5.0,1.0,126.0,0,551.1388379204893,"7330 S May St, Chicago, IL 60621",32,3123.0,0,0,1,0
1838,239200,1925.0,1450.0,4.0,2.0,165.0,2,160.0,"4632 W Montana St, Chicago, IL 60639",32,3600.0,0,0,1,0
1839,339000,1929.0,1022.0,3.0,2.0,332.0,1,160.0,"2163 N Mason Ave, Chicago, IL 60639",32,3511.0,0,0,1,0
1843,234900,1913.0,804.0,2.0,1.0,292.0,0,246.0,"5873 N Glenwood Ave Apt 3, Chicago, IL 60660",32,804.0,1,0,0,0
1844,217000,1952.0,900.0,3.0,2.0,241.0,2,125.0,"7149 S Christiana Ave, Chicago, IL 60629",32,3781.0,0,0,1,0
1847,159000,1968.0,1200.0,2.0,2.0,133.0,2,947.0,"5757 N Sheridan Rd Apt 2J, Chicago, IL 60660",32,1200.0,1,0,0,0
1848,239000,1972.0,749.0,1.0,1.0,319.0,0,560.0,"1221 N Dearborn Pkwy Unit 812N, Chicago, IL 60610",33,749.0,1,0,0,0
1849,80000,1895.0,612.0,5.0,1.0,131.0,0,551.1388379204893,"6741 S Bishop St, Chicago, IL 60636",32,3123.0,0,0,1,0
1850,299000,1981.0,980.0,1.0,1.5,305.0,1,850.0,"50 E Bellevue Pl Apt 1101, Chicago, IL 60611",33,980.0,1,0,0,0
1852,475900,1952.0,2600.0,4.0,4.0,183.0,2,350.0,"6551 N Washtenaw Ave, Chicago, IL 60645",33,4125.0,0,0,1,0
1854,415000,2008.0,1025.0,1.0,1.5,405.0,1,827.0,"240 E Illinois St Apt 1509, Chicago, IL 60611",32,1025.0,1,0,0,0
1856,208000,1927.0,846.0,1.0,1.0,246.0,1,539.0,"1550 S Blue Island Ave Unit 918, Chicago, IL 60608",32,846.0,1,0,0,0
1857,295000,2000.0,740.0,1.0,1.0,399.0,1,1000.0,"501 N Clinton St Apt 2001, Chicago, IL 60654",32,740.0,1,0,0,0
1859,335000,1890.0,2374.0,3.0,1.5,141.0,1,244.0,"10625 S Drew St, Chicago, IL 60643",32,0.38,0,0,1,0
1861,129000,1916.0,828.0,3.0,1.0,156.0,2,334.0,"4821 W Hirsch St, Chicago, IL 60651",14,3751.0,0,0,1,0
1863,379000,1974.0,1350.0,2.0,2.0,281.0,2,860.0,"4170 N Marine Dr Apt 14E, Chicago, IL 60613",33,1350.0,1,0,0,0
1866,185000,1956.0,1492.0,3.0,2.0,124.0,0,244.0,"9526 S Loomis St, Chicago, IL 60643",33,4430.0,0,0,1,0
1868,389900,2008.0,1200.0,2.0,2.0,325.0,1,500.0,"225 S Sangamon St Unit 710, Chicago, IL 60607",33,1200.0,1,0,0,0
1869,219000,1955.0,900.0,1.0,1.0,243.0,0,787.0,"320 W Oakdale Ave Apt 304, Chicago, IL 60657",33,900.0,1,0,0,0
1870,179000,1969.0,525.0,1.0,1.0,341.0,1,530.0,"1850 N Clark St Apt 510, Chicago, IL 60614",33,525.0,1,0,0,0
1871,375000,1918.0,1284.0,3.0,2.0,292.0,1,236.0,"3326 W North Ave Apt 2W, Chicago, IL 60647",33,1284.0,1,0,0,0
1872,599000,1959.0,2042.0,4.0,2.5,293.0,2,400.0,"7152 N Mason Ave, Chicago, IL 60646",33,3920.0,0,0,1,0
1873,60000,1972.0,1000.0,2.0,1.0,60.0,0,300.0,"8216 S Jeffery Ave Unit 3W, Chicago, IL 60617",33,1000.0,1,0,0,0
1874,149900,2006.0,1200.0,3.0,2.0,125.0,0,300.0,"1475 E 69th St Unit G, Chicago, IL 60637",33,1200.0,1,0,0,0
1876,175000,1946.0,2000.0,5.0,2.0,88.0,2,551.1388379204893,"12415 S Princeton Ave, Chicago, IL 60628",33,4835.0,0,0,1,0
1879,165000,1903.0,1441.0,4.0,2.0,115.0,0,551.1388379204893,"8831 S Aberdeen St, Chicago, IL 60620",33,4375.0,0,0,1,0
1880,119500,1967.0,986.0,1.0,1.0,121.0,1,666.0,"7033 N Kedzie Ave Apt 914, Chicago, IL 60645",33,986.0,1,0,0,0
1882,220000,1920.0,1900.0,3.0,1.5,116.0,2,300.0,"7949 S Manistee Ave, Chicago, IL 60617",33,3877.0,0,0,1,0
